,const,Brick_Veneer_Area,BsmtFinSF2,LowQualFinSF,Half_Bathroom_Above_Grade,Fireplaces,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Sale_Price,Zoning_Class_FVR,Land_Outline_HLS,Utility_Type_NoSeWa,Lot_Configuration_CulDSac,Property_Slope_SS,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SawyerW,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_PosA,Condition2_PosA,Condition2_PosN,House_Type_Twnhs,House_Type_TwnhsE,House_Design_2.5Fin,House_Design_2Story,House_Design_SFoyer,House_Design_SLvl,Roof_Design_Hip,Roof_Quality_TG,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior2nd_BrkFace,Exterior2nd_HdBoard,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Brick_Veneer_Type_Stone,Foundation_Type_CB,Foundation_Type_SL,Foundation_Type_W,Basement_Condition_Gd,Exposure_Level_Gd,BsmtFinType1_GLQ,BsmtFinType2_GLQ,Heating_Type_GasW,Heating_Quality_Fa,Heating_Quality_Gd,Heating_Quality_TA,Kitchen_Quality_Fa,Functional_Rate_MajD2,Fireplace_Quality_Fa,Garage_BuiltIn,Garage_Detchd,Pool_Quality_Fa,Pool_Quality_Gd,Sale_Type_ConLw,Sale_Type_New,Sale_Condition_Abnorml,Sale_Condition_NoRMDal,Predicted_Sale_Price
0,1.0,0.0,144.0,0,0,0,0,120,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112984.1466108459
1,1.0,108.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142083.29626789986
2,1.0,0.0,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,190369.92777793156
3,1.0,20.0,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203106.56874785246
4,1.0,0.0,0.0,0,0,0,0,144,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213063.01261996457
5,1.0,0.0,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,159304.1738158287
6,1.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130484.8475175853
7,1.0,0.0,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,168764.29990737885
8,1.0,0.0,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205447.6010616289
9,1.0,0.0,78.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122366.28406380017
10,1.0,0.0,0.0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131376.38567032196
11,1.0,504.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,95393.42562225138
